,Player id,Player name,team_name,label,date,matchId
0,620953,M. Uhd,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1,766640,K. Nyegaard,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
2,846772,M. Riis Ladefoged,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
4,540613,A. Molberg,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
5,449720,R. Espersen,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
7,570604,G. Hansen,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
9,0,,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
13,577508,B. Sahin,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
15,449310,L. Larsen,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
16,681351,A. Østergaard,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
17,678942,B. Stage,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
18,1026418,R. Knudsen,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
20,682504,E. Jørgensen,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
27,224184,R. Larsen,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
32,449174,P. Stoustrup,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
38,661131,K. Hvidtfeldt,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
48,562588,K. Høst,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
49,562601,P. Oslev,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
58,500736,D. Warmbach,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
72,958168,E. Zekiri,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
90,438711,V. Anker,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
102,577973,S. Drammeh,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
115,412013,L. Callaku,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
490,0,,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1062,522595,M. Stangerup,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1081,449805,L. Lodberg,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1244,562517,M. Conley,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1308,450079,R. Nissen,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1342,624758,J. Runge,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1460,852800,B. Warlo,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1466,935342,M. Teglers,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1487,620826,S. Harboe,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1492,576311,R. Grønne Jensen,Frem,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1510,678944,L. Dauerhøj,Næsby,"Næsby - Frem, 1 - 4","April 13, 2024 at 2:00:00 PM GMT+2",5579392
1694,576286,M. Möller,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1695,449317,N. Lassen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1696,624682,E. Dissing,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1697,449494,A. Sønderby,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1698,577999,J. Kilden Grøn,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1700,576266,J. Höjgaard,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1701,762280,A. Klein,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1702,677282,L. Jensen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1703,679312,A. Nybro,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1704,622981,M. Rytter,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1706,612335,T. Hoffmeyer Beck,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1708,579418,J. Yderholm,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1709,0,,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1710,599993,B. Axelsson,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1711,576270,P. Højgaard,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1718,621864,A. Bonnén,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1726,576276,J. Leth,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1734,578001,Y. Akbayir,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1742,449486,S. Stojilkovic,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1744,963557,M. Kunckel,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1753,576267,M. Pedersen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1764,578615,R. Kristensen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1768,624715,S. Wille,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
1890,0,,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3057,624776,M. Wallin,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3074,535629,M. Zaar,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3092,516374,R. Røge,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3094,612909,Y. Christiansen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3338,621861,S. Ryberg,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3391,522634,E. Colding,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3461,912987,J. Jensen,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3495,476353,N. Leth,Vejgaard B,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3532,624648,F. Nedergaard,Young Boys,"Vejgaard B - Young Boys, 1 - 0","April 13, 2024 at 2:00:00 PM GMT+2",5579423
3555,557159,A. Manneh,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3556,609021,N. Busk Andreasen,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3557,519691,F. Munck,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3558,270143,A. Lazarevic,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3559,55994,S. Ozdogan,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3560,740020,M. Ottesen,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3561,846612,M. Azaquoun,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3562,607033,D. Bagou,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3563,335711,M. Cordua,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3564,954262,B. Baldeh,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3565,56538,L. Fosgaard,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3567,450800,T. Gall,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3571,620782,E. Willer,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3573,577609,S. Brodersen,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3574,215287,I. Kannah,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3576,0,,Avarta,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3577,525676,H. El Idrissi,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3578,523114,Mohammad Hassan,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3580,1030338,H. Mohamed Cherif,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3584,412018,E. Salamoun,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3585,519560,C. Cordua,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
3589,683040,B. Kruse,Ishøj,"Avarta - Ishøj, 1 - 2","April 14, 2024 at 1:00:00 PM GMT+2",5579393
