,Player id,Player name,team_name,label,date,matchId
0,769303,C. Oslev,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1,957205,D. Alijagic,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
2,939642,F. Sembach,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
3,845780,M. Bering,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
4,941462,V. Kryger,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
5,766789,M. Ergin,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
6,797275,O. Sandris,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
7,862361,M. Brolund,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
8,0,,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
12,781181,O. Kotsiuba,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
13,913707,W. Bringe,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
18,962725,S. Kildemark,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
19,957207,R. Akcin,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
21,830477,J. Eggertsen,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
23,845784,O. Mejnholt-Christensen,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
25,0,,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
26,845765,A. Hansen,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
29,797277,A. Amrani,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
35,883072,I. Lund,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
38,786362,M. Frederiksen,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
48,859183,C. Refnov,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
58,786366,M. Rasmussen,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
90,934529,I. Benchekh,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
162,962726,S. Vestergaard,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
929,965328,G. Østergaard,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
972,765138,M. Neuhard,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1293,965324,L. Kørner,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1324,957211,S. Mellado Jensen,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1410,842908,S. Muhiddine,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1482,797315,L. Almajid Eggert,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1483,766626,V. Abildgaard,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1537,965322,O. Madsen,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1557,968036,V. Krøll,Nykøbing U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1675,769219,A. Jørgensen,B.93 U17,"B.93 U17 - Nykøbing U17, 3 - 2","August 12, 2023 at 12:00:00 PM GMT+2",5485986
1808,782522,L. Kryger,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1809,769846,K. Gaardsøe,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1810,789923,O. Kristensen,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1811,831207,F. Jakobsen,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1813,944200,H. Lærke,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1815,788795,L. Schøn,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1817,859028,M. Kharaibi,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1818,815707,N. Williams,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1819,963485,J. Weiss,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1821,766608,N. Heibøll,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1824,0,,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1826,742492,V. Bach Schmølker,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1831,844367,F. Simonsen,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1832,0,,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1833,963500,H. Dahl,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1834,944201,V. Blendstrup,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1840,963498,F. Bruun Jensen,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1844,882021,V. Bror Kristensen,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1848,829963,F. Jensen,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1850,856140,N. Hilligsøe,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1855,844366,O. Bak-Jensen,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1856,963502,L. Thaqi,Hobro IK U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1861,944192,J. Lahchich,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
1979,861912,E. Larsen,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
2651,963491,R. Piper Flemmer,Helsingør U17,"Helsingør U17 - Hobro IK U17, 3 - 3 (P)","August 12, 2023 at 3:15:00 PM GMT+2",5485991
